jahr,monat,tarifverbund_id,angebot_gruppe,bundesland_code2,anteil
2025,12,12,130,14,0.1292
2025,12,12,130,16,0.1424
2025,12,12,130,8,0.2941
2025,12,12,130,3,0.4343
2025,6,14,200,6,0.2856
2025,6,14,200,10,0.2673
2025,6,14,200,5,0.0016
2025,6,14,200,13,0.0649
2025,6,14,200,8,0.1642
2025,6,14,200,7,0.2164
2024,7,16,110,9,0.2595
2024,7,16,110,1,0.2911
2024,7,16,110,3,0.1958
2024,7,16,110,6,0.0387
2024,7,16,110,10,0.2149
2024,9,1,130,8,0.1976
2024,9,1,130,3,0.0367
2024,9,1,130,16,0.1313
2024,9,1,130,12,0.1885
2024,9,1,130,15,0.0509
2024,9,1,130,14,0.1495
2024,9,1,130,13,0.0684
2024,9,1,130,9,0.1771
2024,4,19,110,2,0.142
2024,4,19,110,3,0.2027
2024,4,19,110,14,0.2586
2024,4,19,110,7,0.1423
2024,4,19,110,12,0.0522
2024,4,19,110,13,0.2022
2025,5,8,210,7,0.2894
2025,5,8,210,10,0.2267
2025,5,8,210,8,0.009
2025,5,8,210,5,0.2794
2025,5,8,210,15,0.1955
2025,11,2,120,14,0.302
2025,11,2,120,5,0.3393
2025,11,2,120,16,0.0087
2025,11,2,120,1,0.0179
2025,11,2,120,7,0.0041
2025,11,2,120,8,0.2866
2025,11,2,120,6,0.0414
2025,7,16,110,2,0.0494
2025,7,16,110,3,0.236
2025,7,16,110,15,0.5244
2025,7,16,110,13,0.1902
2024,7,18,210,2,0.3307
2024,7,18,210,5,0.02
2024,7,18,210,15,0.1301
2024,7,18,210,9,0.5192
2024,7,10,110,7,0.5326
2024,7,10,110,4,0.1361
2024,7,10,110,15,0.0374
2024,7,10,110,3,0.0857
2024,7,10,110,1,0.2082
2024,5,16,130,11,0.0584
2024,5,16,130,6,0.164
2024,5,16,130,14,0.1407
2024,5,16,130,1,0.0069
2024,5,16,130,2,0.1762
2024,5,16,130,10,0.1197
2024,5,16,130,4,0.1675
2024,5,16,130,15,0.1666
2024,10,18,100,7,0.1093
2024,10,18,100,10,0.0921
2024,10,18,100,4,0.4823
2024,10,18,100,13,0.2237
2024,10,18,100,14,0.0926
2024,9,3,130,5,0.1557
2024,9,3,130,1,0.2041
2024,9,3,130,13,0.2756
