log_id,dateiname,schritt,level,nachricht,fehler_details,erstellt_von_user_id,erstellt_am,geaendert_von_user_id,geaendert_am
1,SONSTIGE_ANGEBOTE_TV1_2024_12_v1.csv,validate,success,Verarbeitung erfolgreich,,2,2025-07-17 10:09:17,57,2024-07-25 07:50:58
2,PLAN_UMSATZ_TV18_2024_08_korrigiert.csv,validate,success,Verarbeitung erfolgreich,,29,2024-09-22 04:27:22,,
3,SONSTIGE_ANGEBOTE_TV14_2025_08.csv,export,info,Verarbeitung gestartet,,67,2025-09-26 10:07:16,64,
4,SONSTIGE_ANGEBOTE_TV16_2024_04.csv,export,info,Verarbeitung gestartet,,7,2024-03-18 19:01:00,51,
5,SONSTIGE_ANGEBOTE_TV5_2025_07.csv,aggregate,error,Verarbeitung fehlgeschlagen,Ticketcode unbekannt,20,2025-08-11 03:52:31,73,
6,SONSTIGE_ANGEBOTE_TV16_2025_10.csv,export,info,Verarbeitung gestartet,,,2025-06-02 02:51:42,36,
7,TICKET_VERKAEUFE_TV19_2024_12.csv,aggregate,error,Verarbeitung fehlgeschlagen,Ungültiges Datumsformat,,2024-04-19 00:18:23,,
8,PLAN_UMSATZ_TV2_2024_06_final.csv,ingest,success,Verarbeitung erfolgreich,,16,2025-03-18 10:39:21,,2024-03-20 13:53:38
9,TICKET_VERKAEUFE_TV19_2024_10.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,51,2024-02-26 14:25:52,,2024-12-21 22:52:06
10,TICKET_VERKAEUFE_TV3_2024_08.csv,validate,info,Verarbeitung gestartet,,66,2025-09-12 23:39:43,,2025-11-28 10:24:54
11,PLAN_UMSATZ_TV6_2025_01.csv,export,info,Verarbeitung gestartet,,2,2024-04-30 04:17:45,,2025-08-21 19:57:24
12,TICKET_VERKAEUFE_TV16_2024_05_v1.csv,ingest,error,Verarbeitung fehlgeschlagen,Ungültiges Datumsformat,63,2024-05-31 12:25:40,,
13,SONSTIGE_ANGEBOTE_TV4_2025_06.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,80,2025-12-27 00:28:38,25,2024-10-08 08:12:10
14,SONSTIGE_ANGEBOTE_TV3_2025_08_final.csv,export,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,14,2024-01-13 13:30:29,,
15,PLAN_UMSATZ_TV5_2024_06.csv,export,info,Verarbeitung gestartet,,24,2025-07-14 15:05:06,,
16,SONSTIGE_ANGEBOTE_TV9_2024_08_v1.csv,export,warning,Verarbeitung mit Warnungen,,,2024-02-15 18:33:49,,
17,TICKET_VERKAEUFE_TV10_2024_11_v1.csv,validate,info,Verarbeitung gestartet,,54,2025-10-02 12:58:23,,
18,TICKET_VERKAEUFE_TV13_2024_12_final.csv,ingest,info,Verarbeitung gestartet,,1,2025-08-06 19:06:34,,
19,PLAN_UMSATZ_TV10_2025_10_testlauf.csv,validate,info,Verarbeitung gestartet,,,2024-06-09 15:46:42,72,
