monat,jahr,meldestelle_code,tarifverbund_id,angebot_gruppe,umsatz_eur
4,2024,MS-DUS-002,6,210,23087.68
5,2025,MS-FRA-006,18,100,1131.64
3,2025,MS-NUE-005,5,110,15036.44
10,2025,MS-HAJ-006,19,100,10273.78
7,2025,MS-STR-004,20,110,5822.87
5,2024,MS-FRA-001,4,130,5769.2
12,2025,MS-BER-005,4,120,34770.58
2,2025,MS-MUC-005,15,100,32163.25
6,2024,MS-FRA-003,14,110,15363.87
8,2025,MS-HAM-004,8,120,7605.98
10,2024,MS-LEJ-003,19,120,20281.71
10,2025,MS-LEJ-003,5,200,5867.96
1,2025,MS-DTM-004,18,210,31221.81
4,2025,MS-BRE-001,12,130,3250.0
12,2025,MS-STR-005,2,210,17021.12
10,2025,MS-DUI-002,3,100,29797.94
4,2025,MS-DUI-006,1,100,12739.66
4,2025,MS-LEJ-005,10,110,27783.23
11,2024,MS-DRS-004,2,210,4418.05
10,2024,MS-LEJ-001,1,210,12711.67
9,2024,MS-LEJ-007,13,100,745.01
12,2024,MS-BRE-002,12,100,10303.23
10,2024,MS-HAJ-006,2,120,725.99
3,2025,MS-HAM-005,17,120,34273.95
1,2024,MS-STR-003,13,110,15178.83
4,2025,MS-FRA-005,13,120,15113.05
7,2024,MS-NUE-005,9,210,6652.51
6,2025,MS-DUS-003,5,120,12466.39
5,2024,MS-NUE-005,8,210,25992.82
2,2025,MS-DTM-004,13,200,19527.25
11,2024,MS-DRS-002,5,200,12005.82
1,2024,MS-HAJ-001,8,200,18841.68
1,2025,MS-MUC-002,18,100,32279.46
2,2025,MS-BER-002,12,100,24490.83
10,2024,MS-FRA-005,3,210,10308.75
5,2024,MS-MUC-001,3,210,13121.77
3,2024,MS-HAJ-006,5,120,17902.17
12,2025,MS-DRS-001,1,110,19908.66
8,2024,MS-MUC-001,20,210,13201.51
6,2024,MS-MUC-003,17,120,32657.32
3,2025,MS-ESS-001,11,210,18369.05
12,2024,MS-LEJ-007,13,130,32329.34
1,2024,MS-DUI-005,15,110,9988.64
10,2025,MS-LEJ-001,11,110,3752.71
3,2024,MS-HAM-007,11,120,14479.61
2,2024,MS-DUS-002,9,210,1474.89
11,2025,MS-BRE-002,17,120,31840.18
8,2025,MS-DTM-004,14,110,13635.95
5,2024,MS-FRA-001,6,210,34444.04
8,2024,MS-HAM-007,1,130,28160.04
7,2025,MS-DRS-001,11,210,28759.02
2,2024,MS-HAM-004,2,200,29257.85
4,2024,MS-DUS-001,18,200,9043.38
4,2024,MS-LEJ-003,10,210,12036.42
9,2024,MS-BRE-002,11,200,18551.87
8,2024,MS-BRE-002,1,200,25601.6
8,2024,MS-DUI-003,10,130,14669.74
4,2024,MS-HAM-001,7,100,25621.92
7,2025,MS-MUC-005,6,100,7043.8
1,2025,MS-LEJ-005,9,130,33227.33
11,2024,MS-DUI-002,12,200,16679.94
11,2024,MS-HAM-002,6,210,33491.56
4,2024,MS-FRA-007,2,210,12193.05
6,2024,MS-HAM-007,20,120,21555.81
8,2024,MS-MUC-004,12,100,7679.68
9,2024,MS-BRE-002,7,200,21591.38
5,2025,MS-BRE-002,18,110,24623.24
8,2025,MS-FRA-004,4,110,13228.35
4,2024,MS-DUS-001,2,120,7130.83
11,2024,MS-CGN-003,14,120,21429.57
7,2025,MS-DTM-005,1,200,32993.15
4,2025,MS-BER-006,2,100,14739.52
8,2024,MS-HAJ-001,5,210,33907.28
2,2024,MS-BER-002,7,110,18285.07
2,2024,MS-HAM-004,3,100,30585.38
5,2025,MS-DRS-004,5,210,27958.15
7,2025,MS-DUS-003,14,210,20297.73
8,2025,MS-HAM-003,8,210,1979.65
3,2025,MS-BER-003,14,100,733.13
5,2024,MS-NUE-006,14,210,550.88
11,2025,MS-HAM-007,13,210,10043.44
2,2024,MS-FRA-002,7,100,14204.05
3,2024,MS-DTM-003,17,130,18691.38
11,2024,MS-HAM-004,2,110,12348.8
1,2025,MS-BRE-001,4,110,5349.75
11,2024,MS-LEJ-007,4,120,25758.11
6,2025,MS-NUE-003,14,120,3328.92
12,2025,MS-HAJ-004,6,110,2659.83
3,2025,MS-NUE-004,15,110,8420.7
8,2024,MS-DRS-001,7,130,29946.99
5,2024,MS-HAJ-002,9,130,10079.29
5,2025,MS-BER-002,5,110,33105.38
6,2025,MS-DTM-002,3,110,4449.46
3,2025,MS-HAJ-005,7,120,26662.94
7,2025,MS-HAM-002,2,210,14722.68
5,2024,MS-BER-007,8,110,13791.5
