monat,jahr,meldestelle_code,tarifverbund_id,ticket_code,anzahl,preis_eur,umsatz_eur,gueltig_ab,plz
1,2024,MS-DUS-002,8,2,40,58.0,2320.0,2024-04-14,5833
10,2024,MS-BRE-001,2,1,28,49.0,1372.0,2024-08-11,44712
9,2024,MS-FRA-004,18,4,61,49.0,2989.0,2025-04-04,17590
1,2025,MS-CGN-002,14,3,76,63.0,4788.0,2024-06-08,42785
2,2025,MS-HAM-005,13,1,96,49.0,4704.0,2024-12-18,17665
1,2025,MS-DRS-002,18,1,241,49.0,11809.0,2025-01-22,22007
11,2025,MS-DUI-006,12,5,54,39.0,2106.0,2025-12-22,22318
11,2024,MS-STR-001,10,1,223,49.0,10927.0,2024-08-26,30702
5,2025,MS-DRS-002,12,2,99,58.0,5742.0,2024-12-29,42385
12,2025,MS-HAM-003,20,2,141,58.0,8178.0,2024-09-07,27605
7,2025,MS-DUS-001,18,2,180,58.0,10440.0,2024-11-28,8159
4,2024,MS-BER-005,11,4,73,49.0,3577.0,2024-03-08,48702
4,2025,MS-HAJ-002,13,4,41,49.0,2009.0,2024-09-28,27286
12,2024,MS-NUE-004,18,3,196,63.0,12348.0,2025-08-21,91056
6,2025,MS-FRA-007,5,5,131,39.0,5109.0,2024-04-03,8363
2,2024,MS-CGN-001,6,4,157,49.0,7693.0,2024-03-06,71986
10,2025,MS-DRS-003,17,3,146,63.0,9198.0,2024-01-12,8007
11,2024,MS-NUE-001,9,3,33,63.0,2079.0,2024-10-27,96661
8,2024,MS-BER-001,9,5,200,39.0,7800.0,2024-07-01,12421
11,2024,MS-DTM-001,17,5,55,39.0,2145.0,2024-06-05,74636
9,2024,MS-HAJ-006,1,5,87,39.0,3393.0,2025-05-15,25837
6,2024,MS-DTM-002,8,1,66,49.0,3234.0,2025-08-03,22007
12,2024,MS-HAJ-001,3,5,201,39.0,7839.0,2024-05-08,29690
9,2025,MS-CGN-003,9,5,228,39.0,8892.0,2025-09-13,84773
9,2024,MS-FRA-004,10,4,176,49.0,8624.0,2025-10-27,74636
9,2025,MS-DRS-001,4,2,62,58.0,3596.0,2024-03-06,55178
10,2024,MS-NUE-003,8,5,61,39.0,2379.0,2024-01-08,21422
4,2024,MS-HAM-002,2,3,23,63.0,1449.0,2025-06-10,45661
11,2025,MS-HAJ-001,7,5,38,39.0,1482.0,2025-08-07,17474
4,2025,MS-DRS-004,14,2,29,58.0,1682.0,2024-04-09,5888
6,2025,MS-BRE-001,14,4,226,49.0,11074.0,2024-02-25,5215
1,2024,MS-LEJ-005,11,1,68,49.0,3332.0,2024-07-15,28350
3,2025,MS-BRE-001,6,3,123,63.0,7749.0,2024-09-12,20282
9,2025,MS-HAM-006,2,5,219,39.0,8541.0,2024-01-16,21904
3,2024,MS-LEJ-006,16,4,59,49.0,2891.0,2025-02-14,21277
7,2024,MS-BER-001,13,3,242,63.0,15246.0,2025-04-10,63642
12,2025,MS-NUE-004,16,2,53,58.0,3074.0,2024-10-30,41293
10,2024,MS-NUE-002,2,3,19,63.0,1197.0,2024-02-21,16294
9,2025,MS-HAJ-006,6,1,250,49.0,12250.0,2025-06-04,21775
2,2024,MS-DUI-003,3,2,108,58.0,6264.0,2024-05-02,15372
10,2024,MS-DUI-003,2,5,25,39.0,975.0,2025-03-05,1613
5,2025,MS-FRA-005,11,2,72,58.0,4176.0,2025-02-09,28501
8,2025,MS-DTM-003,3,1,122,49.0,5978.0,2025-09-28,16402
2,2024,MS-NUE-001,7,5,72,39.0,2808.0,2024-05-15,88245
4,2024,MS-LEJ-001,10,2,117,58.0,6786.0,2025-07-10,6956
10,2025,MS-HAJ-006,1,5,81,39.0,3159.0,2025-11-10,29608
5,2024,MS-MUC-001,4,5,44,39.0,1716.0,2024-10-05,36827
12,2024,MS-ESS-001,7,3,134,63.0,8442.0,2025-05-15,64997
2,2024,MS-BRE-001,9,1,5,49.0,245.0,2024-12-07,8909
11,2024,MS-STR-005,6,4,146,49.0,7154.0,2025-12-23,92541
2,2024,MS-HAM-003,5,5,14,39.0,546.0,2025-01-13,15597
7,2024,MS-MUC-003,2,3,98,63.0,6174.0,2024-02-10,88147
11,2024,MS-STR-003,4,3,204,63.0,12852.0,2025-07-27,96344
4,2024,MS-CGN-002,6,4,11,49.0,539.0,2024-07-02,8044
7,2025,MS-STR-003,9,2,206,58.0,11948.0,2025-12-19,28068
1,2025,MS-DRS-004,8,2,214,58.0,12412.0,2025-04-16,76149
4,2025,MS-FRA-007,1,2,107,58.0,6206.0,2024-12-02,36004
5,2024,MS-ESS-002,17,4,178,49.0,8722.0,2025-07-03,56744
2,2024,MS-STR-005,6,5,72,39.0,2808.0,2024-02-09,28068
6,2025,MS-DTM-003,14,5,135,39.0,5265.0,2024-04-28,71986
5,2024,MS-BER-006,14,1,138,49.0,6762.0,2025-07-05,6740
6,2024,MS-BRE-002,3,3,164,63.0,10332.0,2024-11-17,8444
12,2024,MS-DTM-001,17,3,175,63.0,11025.0,2025-02-22,56278
12,2025,MS-DUS-004,18,2,54,58.0,3132.0,2025-03-06,3198
11,2025,MS-FRA-001,20,5,82,39.0,3198.0,2025-02-19,16847
5,2024,MS-DUS-003,7,4,206,49.0,10094.0,2025-08-16,19525
8,2025,MS-BRE-003,15,2,135,58.0,7830.0,2025-04-29,8590
11,2024,MS-HAM-004,10,5,174,39.0,6786.0,2025-10-10,18706
2,2025,MS-STR-002,10,2,211,58.0,12238.0,2024-07-22,28144
1,2024,MS-STR-003,16,5,222,39.0,8658.0,2024-03-15,66083
11,2025,MS-NUE-006,7,4,131,49.0,6419.0,2025-02-13,47484
11,2024,MS-BER-001,4,4,61,49.0,2989.0,2024-06-29,6046
1,2025,MS-NUE-004,8,1,121,49.0,5929.0,2024-05-16,66810
8,2025,MS-DUI-005,17,4,217,49.0,10633.0,2025-07-15,66905
12,2024,MS-DRS-004,15,3,197,63.0,12411.0,2024-09-10,7666
9,2025,MS-HAJ-001,8,3,117,63.0,7371.0,2024-03-20,6383
4,2025,MS-DUS-001,11,3,233,63.0,14679.0,2025-07-07,21775
3,2024,MS-STR-001,13,2,185,58.0,10730.0,2024-08-07,20311
7,2025,MS-DTM-005,18,4,111,49.0,5439.0,2024-03-04,44806
7,2025,MS-DUI-001,1,5,102,39.0,3978.0,2025-05-03,24934
5,2025,MS-LEJ-003,14,5,196,39.0,7644.0,2025-07-13,18343
8,2024,MS-FRA-007,9,4,129,49.0,6321.0,2024-01-30,89073
11,2025,MS-LEJ-005,6,4,240,49.0,11760.0,2024-05-10,19970
7,2024,MS-DUI-002,19,1,26,49.0,1274.0,2025-10-20,91056
8,2024,MS-FRA-002,2,3,102,63.0,6426.0,2024-12-01,48702
6,2025,MS-ESS-001,13,3,197,63.0,12411.0,2025-03-07,36652
8,2024,MS-BER-003,18,1,248,49.0,12152.0,2024-12-24,43804
11,2024,MS-BER-006,1,2,56,58.0,3248.0,2024-01-21,19970
4,2024,MS-MUC-003,16,1,149,49.0,7301.0,2024-08-11,66140
6,2025,MS-CGN-003,20,5,196,39.0,7644.0,2024-04-27,9959
5,2024,MS-HAM-007,19,1,242,49.0,11858.0,2024-11-15,19469
7,2025,MS-FRA-004,3,5,181,39.0,7059.0,2025-10-04,47484
12,2024,MS-DTM-001,20,1,208,49.0,10192.0,2025-08-02,24283
9,2025,MS-BRE-001,12,1,134,49.0,6566.0,2025-10-25,55440
7,2024,MS-HAJ-001,4,4,250,49.0,12250.0,2025-01-05,1084
12,2025,MS-CGN-001,14,2,192,58.0,11136.0,2025-06-18,3880
10,2025,MS-NUE-001,16,4,116,49.0,5684.0,2025-08-29,34961
4,2025,MS-HAM-005,9,4,67,49.0,3283.0,2025-04-20,15372
6,2025,MS-BER-004,16,3,51,63.0,3213.0,2025-05-14,48702
5,2025,MS-ESS-001,9,5,184,39.0,7176.0,2024-10-09,16025
9,2024,MS-FRA-003,3,2,189,58.0,10962.0,2025-02-20,12777
12,2024,MS-DRS-004,16,4,207,49.0,10143.0,2024-01-18,21904
4,2025,MS-LEJ-005,8,3,174,63.0,10962.0,2025-08-18,89174
9,2025,MS-HAJ-006,12,4,195,49.0,9555.0,2025-07-17,56744
12,2025,MS-DRS-002,9,3,69,63.0,4347.0,2024-08-24,26697
6,2024,MS-MUC-002,18,2,54,58.0,3132.0,2024-08-09,8352
5,2025,MS-DUI-002,17,5,77,39.0,3003.0,2024-04-12,28435
4,2025,MS-ESS-004,6,3,8,63.0,504.0,2025-12-26,13136
5,2024,MS-BER-006,2,5,79,39.0,3081.0,2025-12-15,30280
2,2025,MS-BER-002,19,3,125,63.0,7875.0,2025-05-05,66850
3,2025,MS-BER-007,9,4,34,49.0,1666.0,2024-03-07,82981
2,2025,MS-NUE-006,2,2,43,58.0,2494.0,2025-07-30,54935
4,2024,MS-MUC-002,18,4,160,49.0,7840.0,2025-09-02,19759
9,2024,MS-LEJ-002,15,4,81,49.0,3969.0,2025-08-25,91056
10,2025,MS-DUI-006,2,5,250,39.0,9750.0,2024-04-11,9849
11,2024,MS-FRA-006,9,1,45,49.0,2205.0,2024-09-02,28790
3,2024,MS-BER-001,14,4,181,49.0,8869.0,2025-08-31,66712
1,2025,MS-STR-001,10,3,184,63.0,11592.0,2025-04-09,21422
5,2024,MS-DUI-002,7,4,34,49.0,1666.0,2025-07-11,50451
5,2024,MS-MUC-005,3,1,47,49.0,2303.0,2024-11-10,17185
8,2025,MS-MUC-002,15,3,184,63.0,11592.0,2025-02-16,63039
8,2025,MS-HAM-004,20,1,232,49.0,11368.0,2025-03-18,8590
10,2025,MS-STR-004,1,1,63,49.0,3087.0,2025-11-21,19469
11,2024,MS-DUS-001,19,1,200,49.0,9800.0,2024-06-28,66712
5,2025,MS-FRA-002,19,4,167,49.0,8183.0,2025-05-18,22522
6,2025,MS-LEJ-006,11,3,176,63.0,11088.0,2024-04-17,28780
7,2025,MS-HAJ-002,10,4,213,49.0,10437.0,2025-07-17,24480
2,2025,MS-DTM-003,9,3,34,63.0,2142.0,2025-02-17,10346
11,2024,MS-NUE-002,15,4,18,49.0,882.0,2024-07-11,10469
10,2025,MS-HAJ-002,15,1,57,49.0,2793.0,2024-09-30,19250
5,2024,MS-BRE-003,16,1,12,49.0,588.0,2025-10-07,19431
