jahr,monat,tarifverbund_id,ticket_code,bundesland_code2,anteil
2025,3,11,1,4,0.2368
2025,3,11,1,1,0.3122
2025,3,11,1,12,0.0304
2025,3,11,1,5,0.1476
2025,3,11,1,16,0.0104
2025,3,11,1,14,0.0765
2025,3,11,1,3,0.1768
2025,3,11,1,2,0.0093
2025,10,19,4,14,0.1346
2025,10,19,4,4,0.4208
2025,10,19,4,8,0.3673
2025,10,19,4,10,0.0773
2024,9,3,4,11,0.0292
2024,9,3,4,5,0.0304
2024,9,3,4,3,0.2667
2024,9,3,4,4,0.19
2024,9,3,4,6,0.254
2024,9,3,4,2,0.2297
2025,8,15,4,4,0.2254
2025,8,15,4,15,0.0921
2025,8,15,4,7,0.0489
2025,8,15,4,2,0.0177
2025,8,15,4,9,0.1683
2025,8,15,4,5,0.1968
2025,8,15,4,10,0.2508
2024,4,7,1,4,0.4022
2024,4,7,1,7,0.2309
2024,4,7,1,5,0.2343
2024,4,7,1,8,0.1326
2024,12,11,5,3,0.2513
2024,12,11,5,10,0.0563
2024,12,11,5,11,0.1308
2024,12,11,5,16,0.341
2024,12,11,5,9,0.2206
2024,8,20,5,8,0.2186
2024,8,20,5,11,0.1089
2024,8,20,5,6,0.018
2024,8,20,5,13,0.2479
2024,8,20,5,1,0.154
2024,8,20,5,4,0.1949
2024,8,20,5,12,0.0577
2025,10,7,3,13,0.0438
2025,10,7,3,15,0.2341
2025,10,7,3,11,0.1694
2025,10,7,3,8,0.2347
2025,10,7,3,3,0.1346
2025,10,7,3,5,0.1834
2024,9,16,4,8,0.2895
2024,9,16,4,3,0.3299
2024,9,16,4,9,0.0586
2024,9,16,4,16,0.0613
2024,9,16,4,2,0.2607
2025,10,6,5,3,0.2398
2025,10,6,5,7,0.2126
2025,10,6,5,15,0.0028
2025,10,6,5,10,0.178
2025,10,6,5,8,0.1683
2025,10,6,5,9,0.1326
2025,10,6,5,5,0.0659
2025,8,17,5,11,0.215
2025,8,17,5,2,0.1685
2025,8,17,5,5,0.1123
2025,8,17,5,7,0.0235
2025,8,17,5,3,0.1383
2025,8,17,5,8,0.1861
2025,8,17,5,1,0.1123
2025,8,17,5,14,0.044
2024,10,20,4,6,0.2351
2024,10,20,4,9,0.1918
2024,10,20,4,13,0.0439
2024,10,20,4,15,0.1425
2024,10,20,4,1,0.3867
2025,5,2,2,8,0.0396
2025,5,2,2,1,0.2242
2025,5,2,2,4,0.0319
2025,5,2,2,10,0.3509
2025,5,2,2,2,0.3534
2025,5,11,4,16,0.1743
2025,5,11,4,9,0.2004
2025,5,11,4,3,0.3185
2025,5,11,4,5,0.3068
2024,11,12,2,7,0.3175
2024,11,12,2,12,0.1593
2024,11,12,2,5,0.0875
2024,11,12,2,16,0.0226
2024,11,12,2,11,0.0074
2024,11,12,2,15,0.1955
2024,11,12,2,6,0.2077
2024,11,12,2,8,0.0025
2024,9,13,1,2,0.0663
2024,9,13,1,4,0.1155
2024,9,13,1,16,0.1284
2024,9,13,1,1,0.1722
2024,9,13,1,6,0.21
2024,9,13,1,14,0.1372
2024,9,13,1,9,0.0578
2024,9,13,1,15,0.1126
2024,1,3,3,7,0.1253
2024,1,3,3,2,0.1384
2024,1,3,3,15,0.216
2024,1,3,3,11,0.1995
2024,1,3,3,16,0.2916
2024,1,3,3,6,0.0292
2025,2,13,2,11,0.0757
2025,2,13,2,13,0.1786
2025,2,13,2,14,0.1679
2025,2,13,2,2,0.1109
2025,2,13,2,4,0.0994
2025,2,13,2,12,0.3675
2024,5,15,2,4,0.3045
2024,5,15,2,1,0.279
2024,5,15,2,11,0.0547
2024,5,15,2,9,0.1597
2024,5,15,2,15,0.0703
2024,5,15,2,2,0.1318
2025,4,2,5,6,0.4843
2025,4,2,5,7,0.1303
2025,4,2,5,1,0.3854
2024,5,3,3,10,0.2203
2024,5,3,3,7,0.0475
2024,5,3,3,12,0.091
2024,5,3,3,14,0.2972
2024,5,3,3,9,0.1777
2024,5,3,3,11,0.1663
2024,2,5,3,11,0.0152
2024,2,5,3,1,0.1351
2024,2,5,3,15,0.2264
2024,2,5,3,10,0.0182
2024,2,5,3,8,0.0181
2024,2,5,3,9,0.2292
2024,2,5,3,16,0.1074
2024,2,5,3,3,0.2504
2025,2,12,3,8,0.2156
2025,2,12,3,10,0.1854
2025,2,12,3,15,0.1038
2025,2,12,3,1,0.0855
2025,2,12,3,14,0.2196
2025,2,12,3,2,0.103
2025,2,12,3,7,0.0871
2025,7,17,3,10,0.4395
2025,7,17,3,8,0.0044
2025,7,17,3,6,0.2917
2025,7,17,3,13,0.2644
2025,4,3,4,3,0.5123
2025,4,3,4,9,0.1342
2025,4,3,4,4,0.3535
2025,6,5,3,8,0.093
2025,6,5,3,6,0.4919
2025,6,5,3,5,0.4151
2025,2,15,5,1,0.3444
2025,2,15,5,11,0.0493
2025,2,15,5,14,0.0423
2025,2,15,5,9,0.0393
2025,2,15,5,5,0.2029
2025,2,15,5,15,0.0999
2025,2,15,5,2,0.2219
2024,9,19,1,11,0.2289
2024,9,19,1,4,0.2139
2024,9,19,1,16,0.0233
2024,9,19,1,14,0.1071
2024,9,19,1,5,0.0699
2024,9,19,1,9,0.0009
2024,9,19,1,8,0.1949
2024,9,19,1,12,0.1611
2024,10,1,3,6,0.186
2024,10,1,3,12,0.0042
2024,10,1,3,8,0.0327
2024,10,1,3,9,0.384
2024,10,1,3,15,0.3931
2024,6,15,4,2,0.0311
2024,6,15,4,14,0.0752
2024,6,15,4,6,0.2192
2024,6,15,4,10,0.1942
2024,6,15,4,9,0.2099
2024,6,15,4,3,0.2192
2024,6,15,4,7,0.0512
