question,sql,description,created_at,updated_at
What is the total revenue in 2025->,SELECT SUM(umsatz_eur) AS total_revenue_eur FROM ticket_verkaeufe WHERE jahr = 2025;,,,
Show revenue per month for 2024.,"SELECT monat, SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe WHERE jahr = 2024 GROUP BY monat ORDER BY monat;",,,
How many tickets were sold in total->,SELECT SUM(anzahl) AS total_tickets FROM ticket_verkaeufe;,,,
Which ticket products exist->,"SELECT ticket_code, ticket_name, preis_eur FROM ticket_produkte ORDER BY ticket_name;",,,
List all tariff associations.,"SELECT tarifverbund_id, name, kuerzel, status FROM tarifverbuende ORDER BY name;",,,
Which tariff associations are active->,"SELECT tarifverbund_id, name, kuerzel FROM tarifverbuende WHERE status = 'aktiv' ORDER BY name;",,,
List all federal states.,"SELECT bundesland_code2, bundesland_name, iso_code FROM regionen_bundesland ORDER BY bundesland_name;",,,
Which reporting offices exist->,"SELECT meldestelle_code, meldestelle_name FROM meldestellen ORDER BY meldestelle_name;",,,
How many reporting offices per city (from the name)->,"SELECT split_part(meldestelle_name, ' ', 1) AS city_token, COUNT(*) AS office_count FROM meldestellen GROUP BY city_token ORDER BY office_count DESC;",,,
Which ticket types were sold the most (by quantity)->,"SELECT tp.ticket_name, SUM(tv.anzahl) AS tickets_sold FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code GROUP BY tp.ticket_name ORDER BY tickets_sold DESC;",,,
Which ticket types generate the most revenue->,"SELECT tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code GROUP BY tp.ticket_name ORDER BY revenue_eur DESC;",,,
Show revenue by tariff association.,"SELECT t.name AS tarifverbund, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id GROUP BY t.name ORDER BY revenue_eur DESC;",,,
Show revenue by reporting office.,"SELECT m.meldestelle_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN meldestellen m ON tv.meldestelle_code = m.meldestelle_code GROUP BY m.meldestelle_name ORDER BY revenue_eur DESC;",,,
Show revenue by postal code.,"SELECT tv.plz, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv GROUP BY tv.plz ORDER BY revenue_eur DESC;",,,
Show top 10 postal codes by revenue.,"SELECT tv.plz, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv GROUP BY tv.plz ORDER BY revenue_eur DESC LIMIT 10;",,,
Show revenue by federal state (via postal code).,"SELECT r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name ORDER BY revenue_eur DESC;",,,
For 2025: revenue per state and per month.,"SELECT r.bundesland_name, tv.monat, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE tv.jahr = 2025 GROUP BY r.bundesland_name, tv.monat ORDER BY r.bundesland_name, tv.monat;",,,
Which states have the highest revenue->,"SELECT r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name ORDER BY revenue_eur DESC LIMIT 5;",,,
Which states have the most tickets sold->,"SELECT r.bundesland_name, SUM(tv.anzahl) AS tickets_sold FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name ORDER BY tickets_sold DESC LIMIT 5;",,,
"Per state, show top 3 ticket types by revenue.","WITH revenue_by_state AS (SELECT r.bundesland_name, tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name, tp.ticket_name), ranked AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY bundesland_name ORDER BY revenue_eur DESC) AS rn FROM revenue_by_state) SELECT bundesland_name, ticket_name, revenue_eur FROM ranked WHERE rn <= 3 ORDER BY bundesland_name, revenue_eur DESC;",,,
"For each tariff association, show revenue by state.","SELECT t.name AS tarifverbund, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY t.name, r.bundesland_name ORDER BY t.name, revenue_eur DESC;",,,
